quarter,name,bundleid,platform,genre,subgenre,QuarterRank,Engagement,GamePlay,CPI,UA,Rev,Eng-Rate,GPlay-Rate,CPI-Rate,UA-Rate,Rev-Rate
2020_Q3,Rope Rescue!,com.nextepisode.roperescue,android,Hypercasual,Hypercasual - Puzzle,2,0.19,5.73,0.2629,0.22,13751,-0.24,-0.4,-0.7,1.44,-0.65
2020_Q4,Rope Rescue!,com.nextepisode.roperescue,android,Hypercasual,Hypercasual - Puzzle,3,0.17,4.24,0.3727,0.22,19617,-0.11,-0.26,0.42,0.0,0.43
2019_Q1,Walking Dead,com.nextgames.android.twd,android,RPG,Turn-based RPG,1,0.3,35.4,0.0,0.0,38209,-1.0,-1.0,-1.0,-1.0,-1.0
2019_Q2,Walking Dead,com.nextgames.android.twd,android,RPG,Turn-based RPG,2,0.3,47.51,3.637,0.04,29643,0.0,0.34,-1.0,-1.0,-0.22
2019_Q3,Walking Dead,com.nextgames.android.twd,android,RPG,Turn-based RPG,3,0.29,46.68,0.0,0.0,49197,-0.03,-0.02,-1.0,-1.0,0.66
2020_Q3,Walking Dead,com.nextgames.android.twd,android,RPG,Turn-based RPG,4,0.27,53.2,0.0,0.33,37515,-0.07,0.14,-1.0,-1.0,-0.24
2019_Q3,RWBY: Amity Arena,com.nhnent.SKRWBY,android,Strategy,Tactical Battler,1,0.33,27.02,0.0,0.01,5896,-1.0,-1.0,-1.0,-1.0,-1.0
2019_Q4,RWBY: Amity Arena,com.nhnent.SKRWBY,android,Strategy,Tactical Battler,2,0.36,27.66,2.8724,0.05,7019,0.09,0.02,-1.0,4.0,0.19
2020_Q1,RWBY: Amity Arena,com.nhnent.SKRWBY,android,Strategy,Tactical Battler,3,0.37,27.39,2.75,0.0,4670,0.03,-0.01,-0.04,-1.0,-0.33
2019_Q1,banci,com.NikSanTech.FireDots3D,android,Hypercasual,Hypercasual - Action,1,0.23,2.53,0.3365,0.14,177555,-1.0,-1.0,-1.0,-1.0,-1.0
2019_Q2,banci,com.NikSanTech.FireDots3D,android,Hypercasual,Hypercasual - Action,2,0.2,5.7,0.4082,0.16,27735,-0.13,1.25,0.21,0.14,-0.84
2019_Q3,banci,com.NikSanTech.FireDots3D,android,Hypercasual,Hypercasual - Action,3,0.19,6.1,0.4154,0.15,11088,-0.05,0.07,0.02,-0.06,-0.6
2020_Q1,banci,com.NikSanTech.FireDots3D,android,Hypercasual,Hypercasual - Action,4,0.18,6.72,0.0,0.0,2788,-0.05,0.1,-1.0,-1.0,-0.75
2020_Q2,banci,com.NikSanTech.FireDots3D,android,Hypercasual,Hypercasual - Action,5,0.18,6.71,0.0,0.0,3219,0.0,-0.0,-1.0,-1.0,0.15
2020_Q3,banci,com.NikSanTech.FireDots3D,android,Hypercasual,Hypercasual - Action,6,0.18,8.1,0.0,0.0,1842,0.0,0.21,-1.0,-1.0,-0.43
2020_Q4,Bubble Shooter Mania,com.ninetap.bubbleshootermania,android,Puzzle,Bubble Shooter,1,0.34,46.02,2.2,0.06,8016,-1.0,-1.0,-1.0,-1.0,-1.0
2019_Q1,Heroes of Warland,com.nitrogames.howl,android,Shooter,FPS / 3PS,1,0.14,9.11,0.8,0.08,669,-1.0,-1.0,-1.0,-1.0,-1.0
2019_Q3,Heroes of Warland,com.nitrogames.howl,android,Shooter,FPS / 3PS,2,0.14,13.73,0.0,0.0,0,0.0,0.51,-1.0,-1.0,-1.0
2020_Q1,Idle Light City,com.nopowerup.idlelightcity,android,Arcade,Idler,1,0.32,31.67,1.2117,0.13,41657,-1.0,-1.0,-1.0,-1.0,-1.0
2020_Q2,Idle Light City,com.nopowerup.idlelightcity,android,Arcade,Idler,2,0.29,34.11,1.6381,0.14,58623,-0.09,0.08,0.35,0.08,0.41
2020_Q3,Idle Light City,com.nopowerup.idlelightcity,android,Arcade,Idler,3,0.23,36.7,3.1379,0.15,29085,-0.21,0.08,0.92,0.07,-0.5
2020_Q4,Idle Light City,com.nopowerup.idlelightcity,android,Arcade,Idler,4,0.27,35.63,1.8365,0.16,26586,0.17,-0.03,-0.41,0.07,-0.09
2020_Q1,Obey me,com.nttsolmare.game.android.obeyme,android,Lifestyle,Interactive Story,1,0.33,55.1,4.0,0.07,4004,-1.0,-1.0,-1.0,-1.0,-1.0
2019_Q1,Super Hit Baseball,com.offfgames.android.free.baseballbattle,android,Sports,Arcade Sports,1,0.28,13.31,1.8548,0.05,471,-1.0,-1.0,-1.0,-1.0,-1.0
2019_Q2,Super Hit Baseball,com.offfgames.android.free.baseballbattle,android,Sports,Arcade Sports,2,0.33,26.57,1.4198,0.07,3013,0.18,1.0,-0.23,0.4,5.4
2019_Q3,Super Hit Baseball,com.offfgames.android.free.baseballbattle,android,Sports,Arcade Sports,3,0.35,31.03,0.8203,0.13,8762,0.06,0.17,-0.42,0.86,1.91
2019_Q4,Super Hit Baseball,com.offfgames.android.free.baseballbattle,android,Sports,Arcade Sports,4,0.28,29.39,0.8424,0.1,27337,-0.2,-0.05,0.03,-0.23,2.12
2020_Q1,Super Hit Baseball,com.offfgames.android.free.baseballbattle,android,Sports,Arcade Sports,5,0.22,26.7,1.8535,0.06,10628,-0.21,-0.09,1.2,-0.4,-0.61
2020_Q2,Super Hit Baseball,com.offfgames.android.free.baseballbattle,android,Sports,Arcade Sports,6,0.29,32.81,1.3756,0.15,58764,0.32,0.23,-0.26,1.5,4.53
2020_Q3,Super Hit Baseball,com.offfgames.android.free.baseballbattle,android,Sports,Arcade Sports,7,0.31,26.61,3.1131,0.13,88220,0.07,-0.19,1.26,-0.13,0.5
2020_Q4,Super Hit Baseball,com.offfgames.android.free.baseballbattle,android,Sports,Arcade Sports,8,0.3,28.11,3.6883,0.12,34408,-0.03,0.06,0.18,-0.08,-0.61
2020_Q1,Color Spread,com.ofsqmqklop.colorspread,android,Hypercasual,Hypercasual - Puzzle,1,0.17,4.25,0.2882,0.2,20813,-1.0,-1.0,-1.0,-1.0,-1.0
2020_Q2,Color Spread,com.ofsqmqklop.colorspread,android,Hypercasual,Hypercasual - Puzzle,2,0.18,3.67,0.2671,0.19,4022,0.06,-0.14,-0.07,-0.05,-0.81
2020_Q3,Color Spread,com.ofsqmqklop.colorspread,android,Hypercasual,Hypercasual - Puzzle,3,0.19,4.03,0.2845,0.18,2138,0.06,0.1,0.07,-0.05,-0.47
2020_Q4,Color Spread,com.ofsqmqklop.colorspread,android,Hypercasual,Hypercasual - Puzzle,4,0.17,3.29,0.2609,0.18,567,-0.11,-0.18,-0.08,0.0,-0.73
2019_Q1,FRAG Pro Shooter-Android,com.ohbibi.fps,android,Shooter,FPS / 3PS,1,0.23,22.8,0.4816,0.17,7874,-1.0,-1.0,-1.0,-1.0,-1.0
2019_Q2,FRAG Pro Shooter-Android,com.ohbibi.fps,android,Shooter,FPS / 3PS,2,0.24,24.41,0.0,0.0,14963,0.04,0.07,-1.0,-1.0,0.9
2019_Q3,FRAG Pro Shooter-Android,com.ohbibi.fps,android,Shooter,FPS / 3PS,3,0.24,25.89,0.0,0.0,17732,0.0,0.06,-1.0,-1.0,0.19
2019_Q1,com.ohbibi.sup,com.ohbibi.sup,android,Racing,Arcade Racing,1,0.22,8.48,0.3088,0.15,33309,-1.0,-1.0,-1.0,-1.0,-1.0
2019_Q2,com.ohbibi.sup,com.ohbibi.sup,android,Racing,Arcade Racing,2,0.25,16.07,0.2851,0.15,29127,0.14,0.9,-0.08,0.0,-0.13
2019_Q3,com.ohbibi.sup,com.ohbibi.sup,android,Racing,Arcade Racing,3,0.25,16.69,0.2622,0.15,21808,0.0,0.04,-0.08,0.0,-0.25
